product_id,product_name,so_luot_mua
74021317,Sách Cây Cam Ngọt Của Tôi,4719
378448,Sách Nhà Giả Kim,4605
299461,Chuột Không Dây Logitech M331 Silent - Hàng Chính Hãng,3776
3014291,Máy Tính Khoa Học Casio FX-580VN X,2920
480040,Sách Đắc Nhân Tâm (Khổ Lớn),2878
106863963,Sách Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,2738
71345381,Sách Thay Đổi Cuộc Sống Với Nhân Số Học - Lê Đỗ Quỳnh Hương,2298
26114399,"Sách Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",2257
52789367,Sách Nhà Giả Kim (Tái Bản 2020),2237
389145,"Chuột không dây Logitech B175 - đầu thu USB 2.4Ghz, pin 1 năm, nhỏ gọn, thiết kế thuận cả 2 tay, phù hợp PC/ Laptop - Hàng chính hãng",2229
